,BID,BVH,CTG,FPT,GAS,HPG,KDH,MBB,MSN,MWG,NVL,PDR,PNJ,REE,SBT,SSI,STB,TCH,VCB,VIC,VNM,VN30
2022-04-06,43500.0,65200.0,32600.0,93084.3,110681.0,35759.9,46364.0,27791.7,127230.0,78887.0,86300.0,68231.9,87436.0,72821.0,22336.4,39628.5,32350.0,19690.8,84600.0,80500.0,76663.3,1557.11
2022-04-07,43050.0,64400.0,32550.0,93331.4,109805.0,35230.2,46455.0,28083.3,124914.0,76999.0,84600.0,67938.4,85215.0,69640.0,21401.9,39139.8,31900.0,19300.8,83000.0,79500.0,75889.9,1541.96
2022-04-08,41900.0,63500.0,32050.0,89377.4,107274.0,35116.6,46273.0,27666.7,122846.0,74515.0,85400.0,66764.5,84771.0,70328.0,21121.5,38206.8,31000.0,18521.0,83000.0,81700.0,74729.8,1524.31
2022-04-12,40450.0,60000.0,31000.0,90448.3,106009.0,34132.8,45545.0,26875.0,124484.0,75857.0,85000.0,66030.8,83216.0,68006.0,20560.7,37140.6,30800.0,18326.1,82400.0,81300.0,74246.5,1507.2
2022-04-13,40900.0,63300.0,31500.0,94814.2,107177.0,34208.4,46000.0,27166.7,125973.0,77595.0,86500.0,66764.5,85882.0,69726.0,20887.8,37807.0,31350.0,18423.5,82400.0,82200.0,74633.2,1525.39
2022-04-14,40500.0,62500.0,31200.0,96049.8,108637.0,33981.4,45545.0,26916.7,124782.0,79235.0,85000.0,65664.0,86622.0,70500.0,20887.8,37318.3,30800.0,18228.6,81000.0,81700.0,73763.1,1518.01
2022-04-15,39300.0,66800.0,31000.0,94731.8,112044.0,33451.6,45000.0,26166.7,124087.0,79582.0,84100.0,63536.3,86696.0,74798.0,21121.5,35541.2,30100.0,17595.0,80200.0,80700.0,73956.4,1493.74
2022-04-18,37950.0,66800.0,29200.0,95143.7,112239.0,32278.5,44818.0,25250.0,123094.0,79582.0,82200.0,64416.8,91434.0,76174.0,20700.9,33319.9,29000.0,16376.5,77700.0,79500.0,74439.8,1468.25
2022-04-19,37950.0,65700.0,28750.0,92260.5,110876.0,32770.5,45545.0,24416.7,119620.0,77496.0,82000.0,62949.4,88029.0,73565.0,19252.3,31098.6,27500.0,15255.5,77700.0,78800.0,73473.1,1440.61
2022-04-20,37950.0,64000.0,28700.0,92260.5,103770.0,32694.8,45364.0,24583.3,123392.0,77496.0,81400.0,63500.0,88029.0,69565.0,17943.9,31276.3,27550.0,15206.7,78400.0,79300.0,73086.4,1435.5
2022-04-21,38500.0,66500.0,29000.0,92260.5,102212.0,32808.3,43636.0,25000.0,122101.0,77247.0,80100.0,63400.0,88103.0,70261.0,17943.9,32031.5,27650.0,15011.8,78400.0,77500.0,72506.3,1426.87
2022-04-22,38500.0,63000.0,29400.0,91519.1,109319.0,33148.9,44545.0,25000.0,122399.0,77397.0,81000.0,64900.0,85141.0,66609.0,18177.6,32031.5,28800.0,15450.4,82200.0,77700.0,73376.4,1444.32
2022-04-25,35850.0,58600.0,27350.0,85176.2,101726.0,30840.6,41818.0,23416.7,115153.0,71982.0,80100.0,62000.0,79218.0,62000.0,16915.9,29810.2,26800.0,14378.2,81800.0,76200.0,71056.2,1366.39
2022-04-26,36900.0,61900.0,27650.0,85917.6,106106.0,31181.2,42682.0,24458.3,115153.0,73919.0,81000.0,62700.0,79515.0,64261.0,17289.7,30654.3,27400.0,15158.0,80500.0,78000.0,73376.4,1396.9
2022-04-27,37200.0,61500.0,28300.0,84846.7,108053.0,32165.0,42727.0,24750.0,118131.0,73124.0,81300.0,62000.0,79218.0,64348.0,17383.2,30565.5,28200.0,15499.2,81500.0,78000.0,72506.3,1402.03
2022-04-28,36700.0,60000.0,28200.0,86906.1,104841.0,32619.1,42727.0,24541.7,115649.0,72031.0,81700.0,62000.0,78626.0,68783.0,17102.8,29765.8,27700.0,15304.2,81500.0,77900.0,71829.6,1400.88
2022-04-29,37250.0,62100.0,27750.0,86494.2,103186.0,32770.5,43545.0,24833.3,115153.0,74118.0,82000.0,62100.0,79959.0,71652.0,17757.0,29810.2,27700.0,15694.1,80900.0,80000.0,71732.9,1417.31
2022-05-04,37250.0,63000.0,27000.0,86082.4,105133.0,31786.6,42273.0,24083.3,112274.0,74267.0,80500.0,61500.0,80181.0,72174.0,18224.3,28433.0,26750.0,15206.7,79900.0,79700.0,70089.4,1389.59
2022-05-05,38200.0,64000.0,27900.0,86247.1,106496.0,31824.5,41909.0,24166.7,118131.0,74217.0,81200.0,61500.0,81440.0,71478.0,18177.6,27544.5,26900.0,15060.5,81000.0,80000.0,69702.7,1404.88
2022-05-06,37000.0,63800.0,27000.0,82540.2,106885.0,31635.2,41909.0,23333.3,116145.0,72826.0,80800.0,61000.0,78848.0,74783.0,17289.7,25634.1,25500.0,14426.9,79400.0,79800.0,67865.9,1373.21
2022-05-09,34450.0,59400.0,25150.0,77432.9,102115.0,30235.1,39000.0,21833.3,114061.0,67759.0,78500.0,59300.0,73370.0,70435.0,16121.5,23857.0,23750.0,13452.1,77900.0,79100.0,67672.5,1314.04
2022-05-10,35800.0,60000.0,25200.0,81057.5,105133.0,31105.5,39455.0,22541.7,115252.0,69597.0,79000.0,61900.0,76257.0,75304.0,15420.6,24790.0,23900.0,13403.4,80000.0,80400.0,68252.6,1345.46
2022-05-11,36100.0,58500.0,26700.0,83940.6,106009.0,30764.9,39636.0,22916.7,111082.0,70044.0,78700.0,60700.0,79218.0,80522.0,15514.0,24612.3,23550.0,13549.6,80000.0,80500.0,67189.2,1349.82
2022-05-12,33600.0,54500.0,25000.0,78750.9,102796.0,28948.5,38409.0,21375.0,103339.0,66766.0,75300.0,57000.0,74850.0,75652.0,14439.2,22924.1,21950.0,12623.5,77000.0,79000.0,64288.9,1279.76
2022-05-13,31800.0,50700.0,23900.0,77103.4,97345.0,27170.0,35727.0,20083.3,96192.0,62146.0,75000.0,53600.0,72185.0,70435.0,13457.9,22924.1,20450.0,11746.2,73000.0,78000.0,63902.2,1223.76
2022-05-16,32200.0,47900.0,24550.0,76773.9,92478.0,27472.7,35727.0,20500.0,89541.0,61103.0,75000.0,54600.0,72555.0,65565.0,13738.3,24256.9,19050.0,11648.7,74200.0,77000.0,63612.2,1215.08
2022-05-17,34450.0,51200.0,26250.0,82128.3,98221.0,28910.7,37909.0,21916.7,95795.0,65375.0,78300.0,57000.0,76331.0,70100.0,14672.9,25900.7,20350.0,12428.6,76000.0,78000.0,67672.5,1279.55
2022-05-18,34900.0,50700.0,26600.0,80480.8,102212.0,28910.7,37727.0,22208.3,102446.0,66319.0,78300.0,55800.0,75591.0,73000.0,15093.5,25456.4,21750.0,12721.0,75400.0,78000.0,67962.6,1286.41
2022-05-19,34650.0,50100.0,26100.0,79904.2,102991.0,28683.6,37727.0,22291.7,109593.0,66070.0,78000.0,54000.0,75591.0,76500.0,15093.5,25323.1,21750.0,12623.5,76000.0,77900.0,66705.8,1283.55
2022-05-20,34500.0,50200.0,25900.0,80316.1,101726.0,28494.4,37636.0,22500.0,107012.0,66567.0,77800.0,53800.0,78478.0,76200.0,15093.5,25278.7,21600.0,12964.7,75300.0,77800.0,65835.7,1282.51
2022-05-23,33350.0,50800.0,25000.0,79492.3,100752.0,27813.3,37182.0,21916.7,103737.0,64977.0,76400.0,53000.0,77368.0,73500.0,14953.3,23546.1,20350.0,12331.1,74400.0,77400.0,64095.6,1255.35
2022-05-24,33750.0,50900.0,26000.0,80892.7,102991.0,26413.2,36455.0,22375.0,108204.0,66070.0,77200.0,53200.0,79885.0,75000.0,14579.4,24967.7,21750.0,12379.8,75600.0,77600.0,66609.1,1272.71
2022-05-25,34900.0,52800.0,26900.0,86494.2,105522.0,26072.6,37182.0,23375.0,109693.0,69051.0,78900.0,52800.0,85437.0,80200.0,15186.9,25589.7,22750.0,13208.4,77000.0,77700.0,69509.4,1310.7
2022-05-26,35100.0,53500.0,26700.0,86988.5,104743.0,26488.8,37682.0,23041.7,107807.0,69051.0,78000.0,53600.0,84623.0,83800.0,16214.9,26167.2,22400.0,13549.6,76700.0,77700.0,68929.3,1309.5
2022-05-27,35300.0,53600.0,27000.0,92095.8,107080.0,26829.4,38682.0,23333.3,109196.0,72876.0,78400.0,54300.0,90546.0,89600.0,16495.3,26567.1,22250.0,13598.3,77400.0,78000.0,70572.8,1335.68
2022-05-30,35750.0,53500.0,27300.0,91683.9,107080.0,26829.4,38545.0,23416.7,109196.0,72131.0,78700.0,55300.0,89213.0,94700.0,16542.0,26567.1,22800.0,13549.6,78000.0,78500.0,70089.4,1342.87
2022-05-31,35300.0,52600.0,27900.0,90530.6,114575.0,26261.8,38227.0,23125.0,111579.0,71982.0,78000.0,54800.0,85067.0,90500.0,16355.1,26344.9,22350.0,13305.9,78900.0,78800.0,69316.0,1332.59
2022-06-01,35150.0,52900.0,27750.0,92095.8,117788.0,25996.9,38182.0,23000.0,114160.0,72280.0,78000.0,54500.0,86844.0,95500.0,16401.9,26256.1,22250.0,13305.9,80500.0,79300.0,69509.4,1335.49
2022-06-02,34700.0,54100.0,27750.0,91848.6,115743.0,25088.7,37273.0,22666.7,113465.0,73373.0,78900.0,54200.0,91212.0,92400.0,16261.7,25767.4,21550.0,12769.8,79000.0,78900.0,68736.0,1325.49
2022-06-03,34350.0,54200.0,27400.0,93908.0,120903.0,25277.9,37091.0,22833.3,111976.0,76105.0,77500.0,53700.0,91212.0,93000.0,16121.5,25989.5,21150.0,12623.5,77500.0,78800.0,67962.6,1327.4
2022-06-06,34200.0,54100.0,27200.0,93084.3,126451.0,25202.2,36955.0,22708.3,116145.0,76850.0,76300.0,53700.0,92545.0,91800.0,16028.0,25767.4,20500.0,12282.3,79700.0,78500.0,68445.9,1327.04
2022-06-07,33600.0,56100.0,27400.0,95226.0,126549.0,25126.6,36727.0,22458.3,117039.0,76500.0,76000.0,52900.0,94766.0,96000.0,17056.1,25056.6,20200.0,12379.8,81000.0,78000.0,68252.6,1324.37
2022-06-08,34300.0,55400.0,27700.0,94731.8,125478.0,24899.5,37545.0,23291.7,118428.0,76700.0,76400.0,52700.0,94766.0,98300.0,17009.3,26033.9,21600.0,12867.2,79200.0,78100.0,68639.3,1342.03
2022-06-09,34500.0,55000.0,27700.0,94978.9,124212.0,25580.7,37318.0,23166.7,117634.0,76400.0,76500.0,53200.0,95136.0,96800.0,16915.9,25767.4,22300.0,13159.7,77800.0,78100.0,67865.9,1342.92
2022-06-10,33800.0,53800.0,27100.0,90613.0,115549.0,25429.3,37227.0,22916.7,116145.0,75000.0,77000.0,52700.0,89361.0,90100.0,16214.9,24745.6,21900.0,12964.7,77700.0,78000.0,67189.2,1325.69
2022-06-13,31950.0,50100.0,25250.0,85209.2,114867.0,24067.0,36273.0,21375.0,108204.0,70000.0,76000.0,50000.0,83142.0,86500.0,15093.5,23057.4,20600.0,12087.4,76400.0,76400.0,64192.2,1260.85
2022-06-14,32300.0,51400.0,25250.0,88075.9,122655.0,22931.8,35455.0,21250.0,105523.0,71750.0,76600.0,49900.0,85882.0,90500.0,15140.2,21635.7,20900.0,11843.7,77000.0,76600.0,63902.2,1261.16
2022-06-15,32000.0,51400.0,24500.0,89459.8,120708.0,22250.6,34636.0,20750.0,105226.0,73850.0,76400.0,48800.0,87362.0,90800.0,14813.1,20125.2,20700.0,11210.1,76500.0,76700.0,62355.4,1253.09
2022-06-16,32300.0,52400.0,24700.0,90942.6,124602.0,23461.5,35545.0,20750.0,109891.0,79000.0,77500.0,50800.0,90176.0,96800.0,15140.2,19681.0,21000.0,11112.6,79100.0,76600.0,65739.0,1280.37
2022-06-17,31600.0,51500.0,23550.0,90942.6,130442.0,23200.0,35455.0,19416.7,116145.0,77700.0,75700.0,50300.0,90324.0,99000.0,14766.3,18303.7,20250.0,10381.5,76100.0,76600.0,64482.3,1258.03
2022-06-20,29500.0,50400.0,22600.0,90942.6,121389.0,21600.0,35045.0,18750.0,110189.0,73900.0,75500.0,49900.0,87362.0,92100.0,13738.3,17059.8,18850.0,9660.2,76000.0,75600.0,66705.8,1225.56
2022-06-21,30300.0,51500.0,23050.0,88075.9,116327.0,20800.0,35136.0,18708.3,110189.0,73500.0,75500.0,50500.0,88695.0,85700.0,13878.5,16260.1,19200.0,9650.4,77700.0,75000.0,71249.5,1224.54
2022-06-22,30500.0,51100.0,23600.0,83528.8,108248.0,21500.0,35000.0,19541.7,105226.0,69800.0,75500.0,51800.0,85882.0,79800.0,14299.1,17700.0,20500.0,10284.0,76000.0,75000.0,68252.6,1227.18
2022-06-23,31000.0,52700.0,25250.0,84517.3,113699.0,21800.0,34636.0,20041.7,109196.0,72500.0,74900.0,52200.0,89677.0,85300.0,14719.6,18500.0,21300.0,10430.3,75900.0,74200.0,68349.3,1240.58
2022-06-24,31200.0,54800.0,24750.0,84517.3,110973.0,21800.0,34955.0,19750.0,108700.0,71900.0,74000.0,52500.0,90793.0,85800.0,14953.3,18600.0,21200.0,10284.0,75000.0,74600.0,69122.7,1235.47
2022-06-27,31750.0,55100.0,25600.0,85505.8,111363.0,22900.0,35500.0,20083.3,112174.0,71500.0,78800.0,52600.0,96375.0,86000.0,15140.2,19850.0,21500.0,10966.4,74900.0,73800.0,68736.0,1256.67
2022-06-28,33650.0,56300.0,26700.0,88669.0,112920.0,22500.0,35682.0,20583.3,113167.0,72800.0,75100.0,53000.0,96375.0,87600.0,15327.1,19600.0,22550.0,11210.1,76300.0,73600.0,68445.9,1273.41
2022-06-29,34900.0,55000.0,26850.0,88965.5,113894.0,22750.0,35727.0,20583.3,113167.0,73000.0,75100.0,52400.0,96375.0,86400.0,16355.1,19750.0,22600.0,10917.7,75500.0,73400.0,69896.1,1273.4
2022-06-30,33500.0,52500.0,26150.0,85209.2,112434.0,22300.0,35364.0,20166.7,111182.0,71500.0,74500.0,51800.0,95631.0,86200.0,17429.9,18800.0,21500.0,10430.3,74800.0,73500.0,69799.4,1248.92
2022-07-01,35050.0,53100.0,26950.0,86988.5,110000.0,22400.0,35318.0,20166.7,108700.0,70300.0,74400.0,52400.0,95408.0,86000.0,16542.0,19700.0,22000.0,10674.0,74000.0,72600.0,71249.5,1252.24
2022-07-04,35050.0,53700.0,26600.0,85703.5,108600.0,22000.0,35800.0,20500.0,107700.0,67800.0,74000.0,51600.0,92133.0,85000.0,16729.0,20200.0,22350.0,10771.4,74100.0,72700.0,72603.0,1248.37
2022-07-05,36300.0,52800.0,27000.0,84418.4,103000.0,21900.0,35200.0,21208.3,102000.0,65500.0,73500.0,52000.0,88263.0,79100.0,16074.8,19700.0,23050.0,10332.8,74000.0,72300.0,70669.5,1242.05
